"name","playcount"
"Toro y Moi","330"
"Javelin","211"
"Why?","201"
"DJ Koze","197"
"Dean Blunt and Inga Copeland","156"
"James Blake","146"
"The Flaming Lips","137"
"Ariel Pink's Haunted Graffiti","136"
"FaltyDL","133"
"Tim Hecker","131"
"Burial","128"
"Danny Brown","122"
"Rustie","120"
"Brian Eno","119"
"Frank Ocean","117"
"Robin Guthrie & Harold Budd","115"
"Grimes","107"
"John Maus","102"
"M.I.A.","93"
"Oneohtrix Point Never","93"
"Christopher Rau","86"
"Neon Indian","85"
"Kanye West","83"
"King Krule","79"
"Unknown Mortal Orchestra","75"
"Volcano Choir","71"
"Bibio","70"
"Architecture in Helsinki","69"
"Belle and Sebastian","68"
"Beach House","67"
"Daft Punk","64"
"Yo La Tengo","64"
"Shlohmo","63"
"Gil Scott-Heron and Jamie xx","62"
"Drake","61"
"Arthur Russell","60"
"Kendrick Lamar","59"
"Boards of Canada","58"
"Dntel","56"
"Autre Ne Veut","55"
"Actress","54"
"Pure X","54"
"The Weeknd","54"
"Dabrye","52"
"JAY-Z","51"
"Prince","51"
"Phantogram","50"
"Kindness","48"
"Candy Claws","47"
"Hot Chip","47"
"Grizzly Bear","45"
"The Range","44"
"Little Dragon","43"
"Marnie Stern","43"
"Beat Connection","42"
"Bikeride","42"
"Fennesz","42"
"Heathered Pearls","42"
"The Durutti Column","42"
"Animal Collective","40"
"Mirah","40"
"Majical Cloudz","39"
"The Appleseed Cast","39"
"Gonjasufi","38"
"John Foxx","38"
"Nathan Fake","38"
"Sam Prekop","38"
"Baths","37"
"Led Zeppelin","37"
"Battles","36"
"Lil B","36"
"Girl Talk","35"
"Elton John","34"
"Four Tet","34"
"Disclosure","33"
"Jam City","33"
"Phèdre","33"
"Bored Nothing","32"
"Das Racist","32"
"Tickley Feather","32"
"Neil Young","31"
"The Olivia Tremor Control","31"
"Destroyer","30"
"Big Boi","29"
"Kelela","29"
"Wax Stag","29"
"Bob Dylan","28"
"Robin Guthrie","28"
"Tobacco","28"
"Weather Report","28"
"New Order","27"
"XXYYXX","27"
"Brazilian Girls","26"
"Delicate Steve","26"
"Panda Bear","26"
"Shigeto","26"
"Zammuto","26"
"Gold Panda","25"
"Modest Mouse","25"
"of Montreal","25"
"Low Motion Disco","24"
"Sufjan Stevens","24"
"Blackbird Blackbird","23"
"Grouper","23"
"Twin Sister","23"
"araabMUZIK","22"
"David Bowie","22"
"Elite Gymnastics","22"
"Lana Del Rey","22"
"OutKast","22"
"Peter Bjorn and John","22"
"The Octopus Project","22"
"Wilco","22"
"Aphex Twin","21"
"Co La","21"
"Dosh","21"
"FKA twigs","21"
"Major Lazer","21"
"SBTRKT","21"
"Steve Hauschildt","21"
"BANKS","20"
"How to Dress Well","20"
"Jai Paul","20"
"No Joy","20"
"Tanlines","20"
"The Beach Boys","20"
"The Books","20"
"TRS-80","20"
"Washed Out","20"
"Young Galaxy","20"
"Egyptrixx","19"
"Geto Boys","19"
"Hymie's Basement","19"
"Santo & Johnny","19"
"Teengirl Fantasy","19"
"The Zombies","19"
"Ugly Casanova","19"
"Brian Wilson","18"
"Lil' Wayne","18"
"Small Black","18"
"Apparat","17"
"Chromatics","17"
"Goldie","17"
"Martyn","17"
"Nicki Minaj","17"
"Scarface","17"
"Active Child","16"
"Antônio Carlos Jobim","16"
"Antony and the Johnsons","16"
"Frank Sinatra","16"
"Hans-Joachim Roedelius","16"
"Japanther","16"
"Ra Ra Riot","16"
"Sigur Rós","16"
"Vit Päls","16"
"CFCF","15"
"Charli XCX","15"
"Dillon Francis","15"
"DJ Rashad","15"
"Lemonade","15"
"Main Attrakionz","15"
"Pretty & Nice","15"
"Solange","15"
"Brendan Canning","14"
"Hiatus Kaiyote","14"
"Jeans Wilder","14"
"John Talabot","14"
"Jon Brion","14"
"Megazord","14"
"Neko Case","14"
"Purity Ring","14"
"The Smiths","14"
"Tortoise","14"
"Alicia Keys","13"
"Camera Obscura","13"
"Delorean","13"
"El Guincho","13"
"Ella Fitzgerald","13"
"Gatekeeper","13"
"Handsome Boy Modeling School","13"
"Lone","13"
"Pavement","13"
"Real Estate","13"
"Seams","13"
"Thao with The Get Down Stay Down","13"
"The Antlers","13"
"Annie","12"
"Billie Holiday","12"
"Cannonball Adderley","12"
"Ducktails","12"
"HAIM","12"
"Loscil","12"
"Nate Dogg","12"
"Neutral Milk Hotel","12"
"The Centurians","12"
"Connan Mockasin","11"
"Death Grips","11"
"DJ Koze vs. Hildegard Knef","11"
"Heliotropes","11"
"Herbie Hancock","11"
"Infinite Body","11"
"Lightning Bolt","11"
"M83","11"
"Matthew Dear","11"
"múm","11"
"Poliça","11"
"Radiohead","11"
"The Killers","11"
"The Rolling Stones","11"
"Zomby","11"
"Cuushe","10"
"Darkside","10"
"Dean Martin","10"
"Department of Eagles","10"
"Heatsick","10"
"Jacques Greene","10"
"Junip","10"
"Lou Reed","10"
"Mazes","10"
"Okkervil River","10"
"Richard Hell and the Voidoids","10"
"Talking Heads","10"
"The Decemberists","10"
"Tiësto","10"
"Twin Shadow","10"
"Vitamin String Quartet","10"
"Youth Lagoon","10"
"Africa HiTech","9"
"Benoît Pioulard","9"
"Clap Your Hands Say Yeah","9"
"Devendra Banhart","9"
"Donnie & Joe Emerson","9"
"Francis and the Lights","9"
"Jamie xx","9"
"Johnny Marr","9"
"Oval","9"
"Strand of Oaks","9"
"The Knife","9"
"The Rentals","9"
"Elvis Costello","8"
"Future Islands","8"
"Glasser","8"
"Japandroids","8"
"Luniz","8"
"Nicolas Jaar","8"
"Phosphorescent","8"
"Pictureplane","8"
"Prince & The Revolution","8"
"School of Seven Bells","8"
"Sonic Youth","8"
"The Blow","8"
"The Field","8"
"Zachary Cale","8"
"69","7"
"Big Star","7"
"Blood Orange","7"
"Bon Iver","7"
"Born Ruffians","7"
"Craft Spells","7"
"DIIV","7"
"Diplo feat. Billy The Gent & Long Jawns","7"
"Diplo feat. Lazerdisk Party Sex","7"
"Exitmusic","7"
"Flying Lotus","7"
"Ghostpoet","7"
"Mark McGuire","7"
"Mountains","7"
"Sepalcure","7"
"The Sea and Cake","7"
"The Who","7"
"Todd Terje","7"
"Tussle","7"
"10cc","6"
"Alias","6"
"AlunaGeorge","6"
"Azealia Banks","6"
"Cooly G","6"
"Cosmin TRG","6"
"Dr. Dre","6"
"Emeralds","6"
"Ford & Lopatin","6"
"Jan Jelinek","6"
"MellowHype","6"
"Mirrorring","6"
"Mount Kimbie","6"
"Pantha du Prince","6"
"Phon.o","6"
"Ripperton","6"
"Scorn","6"
"Telefon Tel Aviv","6"
"Titanic","6"
"TV on the Radio","6"
"William Aura","6"
"William Onyeabor","6"
"CHVRCHES","5"
"Coldplay","5"
"Death Cab for Cutie","5"
"Diplo","5"
"El-P","5"
"Everything Everything","5"
"Ghostape","5"
"Glenn Miller","5"
"Humans","5"
"Jeremih","5"
"Justin Timberlake","5"
"Kimya Dawson","5"
"Lorde","5"
"Lower Dens","5"
"Luke Abbott","5"
"Macklemore & Ryan Lewis","5"
"Memory Cassette","5"
"Morrissey","5"
"NRBQ","5"
"Patrice Bäumel","5"
"Plugs","5"
"Polvo","5"
"Ramadanman","5"
"Sam Smith","5"
"Taylor Deupree","5"
"The New Pornographers","5"
"The Postal Service","5"
"The Tough Alliance","5"
"Vincent Markowski","5"
"A Tribe Called Quest","4"
"Alice Coltrane","4"
"Ariel Pink","4"
