"name","playcount"
"Why?","873"
"Brian Eno","841"
"Taking Back Sunday","724"
"Toro y Moi","664"
"King Krule","649"
"Tim Hecker","646"
"Four Tet","616"
"Yo La Tengo","597"
"Sufjan Stevens","578"
"Tierra Whack","556"
"Beach House","549"
"Animal Collective","543"
"Blood Orange","533"
"Taylor Swift","532"
"Thursday","524"
"Aphex Twin","521"
"Arthur Russell","506"
"Carly Rae Jepsen","501"
"Death Cab for Cutie","487"
"SZA","487"
"Elliott Smith","481"
"Steve Hauschildt","481"
"Frank Ocean","479"
"Javelin","472"
"The Flaming Lips","442"
"of Montreal","441"
"(Sandy) Alex G","438"
"The Japanese House","432"
"Alex G","427"
"Granular","420"
"Radiohead","401"
"Drake","395"
"FaltyDL","391"
"Grimes","387"
"John Maus","375"
"DJ Koze","367"
"Ariel Pink's Haunted Graffiti","364"
"Dungen","359"
"Grouper","357"
"Kanye West","334"
"Dntel","333"
"James Blake","331"
"M.I.A.","322"
"Khruangbin","321"
"Courtney Barnett","315"
"Oneohtrix Point Never","311"
"The Weeknd","308"
"Mitski","306"
"Tame Impala","306"
"Burial","305"
"Little Dragon","300"
"girl in red","292"
"Pavement","292"
"Robin Guthrie & Harold Budd","286"
"Better Oblivion Community Center","281"
"Neil Young","275"
"Cursive","273"
"The xx","272"
"Fennesz","271"
"CHVRCHES","269"
"Belle and Sebastian","268"
"A Sunny Day in Glasgow","263"
"Rustie","261"
"Stephen Malkmus and the Jicks","256"
"Mac DeMarco","252"
"Lala Lala","251"
"Miles Davis","251"
"Archy Marshall","247"
"Grizzly Bear","247"
"Björk","246"
"Cornelius","244"
"Dean Blunt and Inga Copeland","244"
"Destroyer","243"
"Neon Indian","235"
"Bob Dylan","234"
"OutKast","234"
"Unknown Mortal Orchestra","234"
"The Appleseed Cast","229"
"Disclosure","227"
"Heathered Pearls","227"
"Bibio","225"
"Robin Guthrie","222"
"Phoebe Bridgers","221"
"Gang Gang Dance","220"
"Jimmy Eat World","219"
"Daft Punk","215"
"Hannah Cohen","215"
"Majical Cloudz","215"
"Desaparecidos","214"
"Lorde","213"
"The Smiths","211"
"Connan Mockasin","210"
"Mount Kimbie","210"
"Stephen Malkmus","209"
"Perfume Genius","207"
"LCD Soundsystem","197"
"Twin Shadow","196"
"Wilco","196"
"Shintaro Sakamoto","195"
"The Shins","192"
"Ed Harcourt","190"
"David Bowie","188"
"Weezer","188"
"Interpol","184"
"Post Malone","183"
"XXYYXX","183"
"The Books","182"
"Battles","180"
"Boards of Canada","179"
"Modest Mouse","177"
"Elvis Costello & The Attractions","176"
"The Clash","176"
"Kendrick Lamar","174"
"Co La","173"
"The Field","170"
"Prince","166"
"Snail Mail","166"
"Tortoise","166"
"Todd Terje","163"
"Hot Chip","162"
"Sean Nicholas Savage","161"
"Asobi Seksu","160"
"Future Islands","158"
"my bloody valentine","158"
"New Order","158"
"Pixies","158"
"Palm","157"
"Panda Bear","156"
"Rage Against the Machine","156"
"Broken Social Scene","152"
"Cocteau Twins","152"
"Shlohmo","150"
"Queen","147"
"The High Llamas","147"
"Aris Kindt","146"
"Ariel Pink","145"
"DIIV","141"
"Dehd","140"
"Japanther","140"
"Danny Brown","139"
"FKA twigs","139"
"Candy Claws","138"
"Lapalux","138"
"Myrna","137"
"Spoon","137"
"beabadoobee","135"
"Caribou","135"
"The Sea and Cake","135"
"Led Zeppelin","134"
"At the Drive-In","133"
"Origami Angel","133"
"Stereolab","133"
"Jon Brion","132"
"The Get Up Kids","132"
"Vagabon","132"
"Christopher Rau","130"
"Hiroshi Yoshimura","130"
"Lil Peep","130"
"M83","130"
"Big Thief","127"
"R Beny","127"
"Spirit of the Beehive","127"
"Arlo Parks","123"
"Cashmere Cat","123"
"Beyoncé","122"
"Cigarettes After Sex","122"
"Volcano Choir","121"
"Broadcast","119"
"Deerhoof","118"
"Lucy Dacus","118"
"Girl Talk","115"
"Phèdre","113"
"Brand New","112"
"Chromatics","111"
"Washed Out","111"
"Elite Gymnastics","110"
"Bloc Party","109"
"Floating Points","109"
"Liam Kazar","109"
"J Dilla","108"
"Coldplay","107"
"Phantogram","107"
"Nathan Fake","106"
"Architecture in Helsinki","105"
"Jenny Lewis","105"
"thestand4rd","105"
"Evenings","103"
"Sondre Lerche","103"
"The Postal Service","103"
"Covet","102"
"The Beatles","102"
"Nicki Minaj","101"
"Tom Rogerson","101"
"Bikeride","100"
"Delicate Steve","100"
"Built to Spill","99"
"Fleet Foxes","99"
"Ana Roxanne","98"
"Yellow Magic Orchestra","98"
"Talking Heads","97"
"Autre Ne Veut","96"
"Weather Report","96"
"Charly Bliss","95"
"JAY-Z","95"
"Julien Baker","95"
"Pronoun","95"
"The Replacements","95"
"blink-182","94"
"Hans Zimmer","93"
"Dirty Projectors","92"
"Kindness","92"
"Peter Bjorn and John","92"
"The Zombies","92"
"Black Marble","91"
"Lana Del Rey","91"
"Paramore","91"
"Chihei Hatakeyama","90"
"Sophie","90"
"Teengirl Fantasy","90"
"細野晴臣","90"
"Bored Nothing","89"
"Haley Heynderickx","89"
"Let's Eat Grandma","89"
"El-P","88"
"Green Day","88"
"Harold Budd","88"
"Jinsang","88"
"Pink Floyd","88"
"Stars of the Lid","88"
"Tensnake","88"
"Bleachers","87"
"Glass Candy","87"
"mewithoutYou","87"
"Rihanna","85"
"American Football","84"
"Deerhunter","84"
"Japanese Breakfast","84"
"John Talabot","84"
"Actress","83"
"Antônio Carlos Jobim","83"
"Drugdealer","83"
"Lemonade","83"
"Aaliyah","82"
"Gold Panda","82"
"Major Lazer","82"
"Purity Ring","82"
"Van Halen","82"
"Generationals","81"
"Kaitlyn Aurelia Smith","81"
"Jamie xx","80"
"Lykke Li","80"
"Minus the Bear","80"
"The Antlers","80"
"Paul McCartney","79"
"Beck","78"
"HAIM","78"
"Leandro Fresco","78"
"Meitei","78"
"The Strokes","78"
"John Foxx","77"
"Lou Reed","77"
"The Beach Boys","77"
"Gil Scott-Heron and Jamie xx","76"
"Yoni & Geti","76"
"Erykah Badu","75"
"Hikes","75"
"Kyle Dixon","75"
"Roger Eno","75"
"Surfer Blood","75"
"Yaeji","75"
